shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10081,33.846844,-118.259116,90002,2.901
10081,33.846859,-118.259406,90003,2.918
10081,33.846888,-118.259765,90004,2.939
10081,33.846889,-118.259774,90005,2.939
10081,33.846933,-118.260102,90006,2.958
10081,33.847007,-118.260525,90007,2.983
10081,33.847071,-118.260831,90008,3.001
10081,33.847121,-118.261027,90009,3.013
10081,33.847178,-118.261262,90010,3.027
10081,33.847189,-118.261307,90011,3.030
10081,33.847296,-118.261709,90012,3.054
10081,33.847330,-118.261829,90013,3.062
10081,33.847355,-118.261952,90014,3.069
10081,33.847408,-118.262163,90015,3.082
10081,33.847473,-118.262549,90016,3.104
10081,33.847524,-118.262938,90017,3.127
10081,33.847545,-118.263179,90018,3.141
10081,33.847552,-118.263258,90019,3.145
10081,33.847565,-118.263415,90020,3.154
10081,33.847567,-118.263457,90021,3.157
10081,33.847580,-118.263723,90022,3.172
10081,33.847583,-118.263811,90023,3.177
10081,33.847601,-118.264312,90024,3.206
10081,33.847612,-118.264654,90025,3.226
10081,33.847869,-118.264685,90026,3.244
10081,33.848067,-118.264709,90027,3.257
10081,33.848329,-118.264743,90028,3.275
10081,33.848344,-118.264745,90029,3.276
10081,33.848344,-118.264745,100001,3.276
10081,33.848435,-118.264757,100002,3.283
10081,33.848618,-118.264782,100003,3.295
10081,33.849065,-118.264843,100004,3.326
10081,33.849167,-118.264857,100005,3.334
10081,33.849305,-118.264875,100006,3.343
10081,33.849579,-118.264907,100007,3.362
10081,33.849827,-118.264937,100008,3.379
10081,33.850097,-118.264972,100009,3.398
10081,33.851136,-118.265106,100010,3.470
10081,33.851460,-118.265155,100011,3.492
10081,33.852209,-118.265249,100012,3.544
10081,33.852762,-118.265320,100013,3.583
10081,33.853097,-118.265361,100014,3.606
10081,33.853335,-118.265390,100015,3.622
10081,33.853565,-118.265420,100016,3.638
10081,33.853565,-118.265420,110001,3.638
10081,33.853589,-118.265423,110002,3.640
10081,33.853998,-118.265477,110003,3.668
10081,33.855371,-118.265654,110004,3.764
10081,33.856489,-118.265796,110005,3.841
10081,33.856764,-118.265831,110006,3.860
10081,33.856853,-118.265843,110007,3.866
10081,33.856991,-118.265860,110008,3.876
10081,33.857535,-118.265927,110009,3.914
10081,33.857819,-118.265962,110010,3.933
10081,33.858147,-118.266001,110011,3.956
10081,33.858214,-118.266009,110012,3.961
10081,33.858492,-118.266018,110013,3.980
10081,33.858834,-118.266020,110014,4.003
